source_id,source_ref,data_year,watershed_id,water_system_code_old,water_system_name_ja_estimated,landuse_code_raw,landuse_name_ja,n_cells,area_km2
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0004,83030,多摩川,1000,その他の用地,22,0.230428
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0004,83030,多摩川,1100,河川地及び湖沼,158,1.654798
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,0200,その他の農用地,1,0.010473
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,0500,森林,2,0.020948
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,0700,建物用地,195,2.042217
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,0901,道路,6,0.062835
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,0902,鉄道,4,0.041889
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,1000,その他の用地,7,0.073308
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0005,83030,,1100,河川地及び湖沼,3,0.031423
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0006,83030,,0200,その他の農用地,1,0.010467
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0006,83030,,0500,森林,30,0.314087
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0006,83030,,0700,建物用地,420,4.397208
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0006,83030,,0901,道路,14,0.146579
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0006,83030,,0902,鉄道,6,0.062816
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0006,83030,,1000,その他の用地,38,0.397856
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0007,83030,,0500,森林,10,0.104705
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0007,83030,,0700,建物用地,438,4.585772
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0007,83030,,0901,道路,19,0.198922
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0007,83030,,0902,鉄道,1,0.010472
nlni_l03b_landuse_by_watershed,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html#L03-b-16,2016,83030-0007,83030,,1000,その他の用地,28,0.29314
