category_ja,category_parent_ja,origin_ja,taxon_group_ja,family_ja,scientific_name,vernacular_name_ja,ias_law_status_ja,establishment_stage_ja,selection_reason_ja,problem_area_ja,kingdom_sheet_ja,note_ja,source_id,source_ref
侵入予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,その他の無脊椎動物,,Carcinus maenus,ヨーロッパミドリガニ,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=49
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Trichosurus vulpecula,フクロギツネ,特定外来,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=51
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Macaca fascicularis,カニクイザル,特定外来,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=52
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Mungos mungos,シママングース,特定外来,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=53
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Mustela furo,フェレット,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=54
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Procyon cancrivorus,カニクイアライグマ,特定外来,未定着,"Ⅰ,Ⅲ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=55
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Axis spp.,アキシスジカ（アクシスジカ）属,特定外来,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=56
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Dama spp.,ダマシカ属,特定外来,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=57
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Elaphulrs davidlanus,シフゾウ,特定外来,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=58
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Pteromys volans,タイリクモモンガ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=59
