taxon_id,scientific_name,vernacular_name_ja,source_id,query_name,query_variant,taxon_key,accepted_scientific_name,kingdom,phylum,class,order,family,genus,rank,matchType,confidence,status,note
quedius kiuchii,Quedius kiuchii,リュウノイワヤツヤムネハネカクシ,moe_redlist,Quedius kiuchii,verbatim,10175149,"Quedius kiuchii Y.Watanabe & M.Yoshida, 1970",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,SPECIES,EXACT,99,ACCEPTED,
paludinellassiminea daitoensis,Paludinellassiminea daitoensis,ダイトウオカチグサ (ダイトウヘソカド),moe_redlist,Paludinellassiminea daitoensis,verbatim,9421392,"Paludinellassiminea daitoensis (Habe, 1942)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Paludinellassiminea,SPECIES,EXACT,99,ACCEPTED,
cirrodrilus inukaii,Cirrodrilus inukaii,イヌカイザリガニミミズ,moe_redlist,Cirrodrilus inukaii,verbatim,8306704,"Cirrodrilus inukaii (Yamaguchi, 1934)",Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Cirrodrilus,SPECIES,EXACT,99,ACCEPTED,
okamejei acutispina,Okamejei acutispina,モヨウカスベ,moe_redlist,Okamejei acutispina,verbatim,2420096,"Okamejei acutispina (Ishiyama, 1958)",Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Okamejei,SPECIES,EXACT,99,ACCEPTED,
sacculina upogebiae,Sacculina upogebiae,アナジャコフクロムシ,moe_redlist,Sacculina upogebiae,verbatim,6467417,"Sacculina upogebiae Shiino, 1943",Animalia,Arthropoda,Maxillopoda,Kentrogonida,Sacculinidae,Sacculina,SPECIES,EXACT,99,ACCEPTED,
marphysa tamurai,Marphysa tamurai,ビクニイワムシ,moe_redlist,Marphysa tamurai,verbatim,2322241,"Marphysa tamurai Okuda, 1934",Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,SPECIES,EXACT,99,ACCEPTED,
platanthera nipponica makino,Platanthera nipponica Makino,コバノトンボソウ,kanagawa_redlist,Platanthera nipponica Makino,verbatim,2798189,Platanthera nipponica Makino,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,SPECIES,EXACT,100,ACCEPTED,
diphyscium lorifolium (cardot) magombo,Diphyscium lorifolium (Cardot) Magombo,クマノゴケ,kanagawa_redlist,Diphyscium lorifolium (Cardot) Magombo,verbatim,7731851,Diphyscium lorifolium (Cardot) Magombo,Plantae,Bryophyta,Bryopsida,Diphysciales,Diphysciaceae,Diphyscium,SPECIES,EXACT,100,ACCEPTED,
amanita flavofloccosa nagas. & hongo,Amanita flavofloccosa Nagas. & Hongo,キワタゲテングタケ,kanagawa_redlist,Amanita flavofloccosa Nagas. & Hongo,verbatim,5452277,Amanita flavofloccosa Nagas. & Hongo,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,SPECIES,EXACT,100,ACCEPTED,
"ceriagrion nipponicum asahina, 1967","Ceriagrion nipponicum Asahina, 1967",ベニイトトンボ,kanagawa_redlist,"Ceriagrion nipponicum Asahina, 1967",verbatim,1423265,"Ceriagrion nipponicum Asahina, 1967",Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,SPECIES,EXACT,100,ACCEPTED,
mus musculus,Mus musculus,ハツカネズミ,moe_ias_list,Mus musculus,verbatim,7429082,"Mus musculus Linnaeus, 1758",Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,SPECIES,EXACT,99,ACCEPTED,
mylopharyngodon piceus,Mylopharyngodon piceus,アオウオ,moe_ias_list,Mylopharyngodon piceus,verbatim,2362110,"Mylopharyngodon piceus (Richardson, 1846)",Animalia,Chordata,,Cypriniformes,Cyprinidae,Mylopharyngodon,SPECIES,EXACT,99,ACCEPTED,
mercenaria mercenaria,Mercenaria mercenaria,ホンビノスガイ,moe_ias_list,Mercenaria mercenaria,verbatim,2287668,"Mercenaria mercenaria (Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,SPECIES,EXACT,99,ACCEPTED,
rudbeckia laciniata,Rudbeckia laciniata,オオハンゴンソウ,moe_ias_list,Rudbeckia laciniata,verbatim,3114229,Rudbeckia laciniata L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rudbeckia,SPECIES,EXACT,99,ACCEPTED,
lagopus mutus japonicus,Lagopus mutus japonicus,ライチョウ,moe_redlist,Lagopus mutus japonicus,verbatim,5227693,"Lagopus muta japonica A.H.Clark, 1907",Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,SUBSPECIES,FUZZY,96,ACCEPTED,
liparis bootanensis var. uchiyamae,Liparis bootanensis var. uchiyamae,キノエササラン,moe_redlist,Liparis bootanensis var. uchiyamae,verbatim,5306145,Liparis bootanensis var. uchiyamae (Schltr.) S.S.Ying,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,VARIETY,EXACT,98,SYNONYM,
peltolepis quadrata,Peltolepis quadrata,リシリゼニゴケ,moe_redlist,Peltolepis quadrata,verbatim,2688622,Peltolepis quadrata (Saut.) Müll.Frib.,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cleveaceae,Peltolepis,SPECIES,EXACT,97,ACCEPTED,
chara vulgaris var. nitelloides,Chara vulgaris var. nitelloides,レイセンジシャジクモ,moe_redlist,Chara vulgaris var. nitelloides,verbatim,8405500,Chara vulgaris L.,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,SPECIES,HIGHERRANK,99,ACCEPTED,
solorina crocea,Solorina crocea,アカウラヤイトゴケ,moe_redlist,Solorina crocea,verbatim,2601134,Solorina crocea (L.) Ach.,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Solorina,SPECIES,EXACT,99,ACCEPTED,
lysurus sphaerocephalus,Lysurus sphaerocephalus,コナガエノアカカゴタケ,moe_redlist,Lysurus sphaerocephalus,verbatim,11106279,"Lysurus sphaerocephalum (Schltdl.) Hern.Caff., Urcelay, Hosaka & L.S.Domínguez",Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Lysurus,SPECIES,FUZZY,96,SYNONYM,
mustela sibirica,Mustela sibirica,シベリアイタチ,moe_redlist,Mustela sibirica,verbatim,5218972,"Mustela sibirica Pallas, 1773",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,SPECIES,EXACT,99,ACCEPTED,
gasterosteus aculeatus subsp. 2,Gasterosteus aculeatus subsp. 2,ハリヨ,moe_redlist,Gasterosteus aculeatus subsp. 2,verbatim,4286327,"Gasterosteus aculeatus Linnaeus, 1758",Animalia,Chordata,,Gasterosteiformes,Gasterosteidae,Gasterosteus,SPECIES,EXACT,84,ACCEPTED,
neolucanus insulicola donan,Neolucanus insulicola donan,ヨナグニマルバネクワガタ,moe_redlist,Neolucanus insulicola donan,verbatim,8980770,"Neolucanus insulicola donan Mizunuma, 1985",Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Neolucanus,SUBSPECIES,EXACT,98,ACCEPTED,
paludinellassiminea miyakoinsularis,Paludinellassiminea miyakoinsularis,ミヤコオカチグサ,moe_redlist,Paludinellassiminea miyakoinsularis,verbatim,11146407,"Paludinellassiminea miyakoinsularis (Minato, 1980)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Paludinellassiminea,SPECIES,EXACT,99,ACCEPTED,
cirrodrilus iwakiensis,Cirrodrilus iwakiensis,イワキザリガニミミズ,moe_redlist,Cirrodrilus iwakiensis,verbatim,7403516,"Cirrodrilus iwakiensis Ohataka & Gelder, 2015",Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Cirrodrilus,SPECIES,EXACT,99,ACCEPTED,
dasyatis acutirostra,Dasyatis acutirostra,ヤジリエイ,moe_redlist,Dasyatis acutirostra,verbatim,2419535,"Dasyatis acutirostra Nishida & Nakaya, 1988",Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Telatrygon,SPECIES,EXACT,98,SYNONYM,
amphibalanus reticulatus,Amphibalanus reticulatus,サラサフジツボ,moe_redlist,Amphibalanus reticulatus,verbatim,6128436,"Amphibalanus reticulatus (Utinomi, 1967)",Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Amphibalanus,SPECIES,EXACT,99,ACCEPTED,
siphonosoma funafuti,Siphonosoma funafuti,アマミスジホシムシモドキ,moe_redlist,Siphonosoma funafuti,verbatim,2509281,"Siphonosoma funafuti (Shipley, 1898)",Animalia,Sipuncula,Sipunculidea,Sipunculiformes,Sipunculidae,Siphonosoma,SPECIES,EXACT,99,ACCEPTED,
platanthera ophrydioides f.schmidt var. monophylla honda,Platanthera ophrydioides F.Schmidt var. monophylla Honda,キソチドリ,kanagawa_redlist,Platanthera ophrydioides F.Schmidt var. monophylla Honda,verbatim,6316136,Platanthera ophrydioides var. monophylla Honda,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,VARIETY,EXACT,100,SYNONYM,
fissidens geppii m.fleisch.,Fissidens geppii M.Fleisch.,ジョウレンホウオウゴケ,kanagawa_redlist,Fissidens geppii M.Fleisch.,verbatim,5283061,Fissidens geppii M.Fleisch.,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,SPECIES,EXACT,100,ACCEPTED,
pholiota microspora (berk.) sacc.,Pholiota microspora (Berk.) Sacc.,ナメコ,kanagawa_redlist,Pholiota microspora (Berk.) Sacc.,verbatim,9751347,Pholiota microspora (Berkeley) Saccardo,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,SPECIES,EXACT,100,ACCEPTED,
"sarasaeschna pryeri (martin, 1909)","Sarasaeschna pryeri (Martin, 1909)",サラサヤンマ,kanagawa_redlist,"Sarasaeschna pryeri (Martin, 1909)",verbatim,5791747,"Sarasaeschna pryeri (Martin, 1909)",Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Sarasaeschna,SPECIES,EXACT,100,ACCEPTED,
ondatra ziberhicus,Ondatra ziberhicus,マスクラット,moe_ias_list,Ondatra ziberhicus,verbatim,5219858,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,SPECIES,FUZZY,95,ACCEPTED,
paramisgurnus dabryanus,Paramisgurnus dabryanus,カラドジョウ,moe_ias_list,Paramisgurnus dabryanus,verbatim,2368319,"Paramisgurnus dabryanus Dabry de Thiersant, 1872",Animalia,Chordata,,Cypriniformes,Cobitidae,Paramisgurnus,SPECIES,EXACT,97,ACCEPTED,
meretrix petechialis,Meretrix petechialis,シナハマグリ,moe_ias_list,Meretrix petechialis,verbatim,4372748,"Meretrix petechialis (Lamarck, 1818)",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Meretrix,SPECIES,EXACT,99,ACCEPTED,
senecio madagascariensis,Senecio madagascariensis,ナルトサワギク,moe_ias_list,Senecio madagascariensis,verbatim,3107722,Senecio madagascariensis Poir.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,SPECIES,EXACT,97,ACCEPTED,
columba janthina stejnegeri,Columba janthina stejnegeri,ヨナクニカラスバト,moe_redlist,Columba janthina stejnegeri,verbatim,5231841,"Columba janthina stejnegeri (Nagamichi Kuroda, 1923)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,SUBSPECIES,EXACT,98,ACCEPTED,
eriocaulon heleocharioides,Eriocaulon heleocharioides,コシガヤホシクサ,moe_redlist,Eriocaulon heleocharioides,verbatim,2690559,Eriocaulon heleocharioides Satake,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Eriocaulon,SPECIES,EXACT,99,ACCEPTED,
sauteria spongiosa,Sauteria spongiosa,ジンチョウゴケ,moe_redlist,Sauteria spongiosa,verbatim,5286293,Sauteria spongiosa (Kashyap) S.Hatt.,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cleveaceae,Sauteria,SPECIES,EXACT,99,ACCEPTED,
chara vulgaris var. vulgaris,Chara vulgaris var. vulgaris,クサシャジクモ,moe_redlist,Chara vulgaris var. vulgaris,verbatim,7229784,Chara vulgaris var. vulgaris L.,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,VARIETY,EXACT,98,ACCEPTED,
pertusaria boninensis,Pertusaria boninensis,オガサワラトリハダゴケ,moe_redlist,Pertusaria boninensis,verbatim,2599923,"Pertusaria DC., 1805",Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,GENUS,HIGHERRANK,94,ACCEPTED,
favolus pseudobetulius,Favolus pseudobetulius,カンバタケモドキ,moe_redlist,Favolus pseudobetulius,verbatim,8103143,Favolus pseudobetulinus (Murashk. ex Pilát) Sotome & T.Hatt.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Favolus,SPECIES,FUZZY,95,ACCEPTED,
sorex minutissimus hawkeri,Sorex minutissimus hawkeri,トウキョウトガリネズミ,moe_redlist,Sorex minutissimus hawkeri,verbatim,2435959,"Sorex minutissimus Zimmermann, 1780",Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,SPECIES,HIGHERRANK,99,ACCEPTED,
pungitius sp. 3,Pungitius sp. 3,トミヨ属雄物型,moe_redlist,Pungitius sp. 3,verbatim,5204682,"Pungitius Coste, 1848",Animalia,Chordata,,Gasterosteiformes,Gasterosteidae,Pungitius,GENUS,HIGHERRANK,94,ACCEPTED,
oryctes hisamatsui,Oryctes hisamatsui,ヒサマツサイカブト,moe_redlist,Oryctes hisamatsui,verbatim,4995681,"Oryctes hisamatsui Nagai, 2002",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes,SPECIES,EXACT,99,ACCEPTED,
paludinellassiminea sp. a,Paludinellassiminea sp. A,タマグスクオカチグサ,moe_redlist,Paludinellassiminea sp. A,verbatim,5856427,"Paludinellassiminea Habe, 1994",Animalia,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Paludinellassiminea,GENUS,HIGHERRANK,94,ACCEPTED,
cirrodrilus makinoi,Cirrodrilus makinoi,ヒメザリガニミミズ,moe_redlist,Cirrodrilus makinoi,verbatim,7829503,"Cirrodrilus makinoi (Yamaguchi, 1934)",Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Cirrodrilus,SPECIES,EXACT,99,ACCEPTED,
aetobatus narutobiei,Aetobatus narutobiei,ナルトビエイ,moe_redlist,Aetobatus narutobiei,verbatim,7732823,"Aetobatus narutobiei White, Furumitsu & Yamaguchi, 2013",Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,SPECIES,EXACT,99,ACCEPTED,
eudactylinamusteli,Eudactylinamusteli,和名なし,moe_redlist,Eudactylinamusteli,verbatim,,,,,,,,,,NONE,100,,No match because of too little confidence
anelassorhyncusmucosus,Anelassorhyncusmucosus,ミドリユムシ,moe_redlist,Anelassorhyncusmucosus,verbatim,,,,,,,,,,NONE,100,,
hypoxis aurea lour.,Hypoxis aurea Lour.,コキンバイザサ,kanagawa_redlist,Hypoxis aurea Lour.,verbatim,2852790,Hypoxis aurea Lour.,Plantae,Tracheophyta,Liliopsida,Asparagales,Hypoxidaceae,Hypoxis,SPECIES,EXACT,100,ACCEPTED,
glyphomitrium minutissimum (s.okam.) broth.,Glyphomitrium minutissimum (S.Okam.) Broth.,チャボサヤゴケ,kanagawa_redlist,Glyphomitrium minutissimum (S.Okam.) Broth.,verbatim,2674172,Glyphomitrium minutissimum (S.Okamura) Broth.,Plantae,Bryophyta,Bryopsida,Dicranales,Rhabdoweisiaceae,Glyphomitrium,SPECIES,EXACT,100,ACCEPTED,
synnematomyces capitatus kobayasi,Synnematomyces capitatus Kobayasi,和名なし〈シンネマトミケス・キャピタートゥス〉,kanagawa_redlist,Synnematomyces capitatus Kobayasi,verbatim,2590910,Synnematomyces capitatus Kobayasi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Synnematomyces,SPECIES,EXACT,100,ACCEPTED,
"nihonogomphus viridis oguma, 1926","Nihonogomphus viridis Oguma, 1926",アオサナエ,kanagawa_redlist,"Nihonogomphus viridis Oguma, 1926",verbatim,1426364,"Nihonogomphus viridis Oguma, 1926",Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Nihonogomphus,SPECIES,EXACT,100,ACCEPTED,
rattus norvegicus,Rattus norvegicus,ドブネズミ,moe_ias_list,Rattus norvegicus,verbatim,2439261,"Rattus norvegicus (Berkenhout, 1769)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,SPECIES,EXACT,99,ACCEPTED,
pseudobagrus fulvidraco,Pseudobagrus fulvidraco,コウライギギ,moe_ias_list,Pseudobagrus fulvidraco,verbatim,2338608,"Pseudobagrus fulvidraco (Richardson, 1846)",Animalia,Chordata,,Siluriformes,Bagridae,Tachysurus,SPECIES,EXACT,98,SYNONYM,
ficopomatus enigmaticus,Ficopomatus enigmaticus,カニヤドリカンザシ,moe_ias_list,Ficopomatus enigmaticus,verbatim,2327735,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,SPECIES,EXACT,99,ACCEPTED,
spartina spp.,Spartina spp.,スパルティナ属,moe_ias_list,Spartina spp.,verbatim,12086863,Spartina Schreb.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Sporobolus,GENUS,HIGHERRANK,93,SYNONYM,
porzana exquisita,Porzana exquisita,シマクイナ,moe_redlist,Porzana exquisita,verbatim,2474674,"Porzana exquisita Swinhoe, 1873",Animalia,Chordata,Aves,Gruiformes,Rallidae,Coturnicops,SPECIES,EXACT,98,SYNONYM,
kalanchoe spathulata var. spathulata,Kalanchoe spathulata var. spathulata,リュウキュウベンケイ,moe_redlist,Kalanchoe spathulata var. spathulata,verbatim,2985928,Kalanchoe Adans.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,GENUS,HIGHERRANK,97,ACCEPTED,
sandeothallus japonicus,Sandeothallus japonicus,ヤマトヤハズゴケ,moe_redlist,Sandeothallus japonicus,verbatim,6317120,Sandeothallus japonicus (Inoue) Crand.-Stotl. & Stotler,Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Sandeothallaceae,Sandeothallus,SPECIES,EXACT,99,ACCEPTED,
lamprothamnium succinctum,Lamprothamnium succinctum,シラタマモ,moe_redlist,Lamprothamnium succinctum,verbatim,2638284,"Lamprothamnium succinctum (A.Braun) R.D.Wood, 1962",Plantae,Charophyta,Charophyceae,Charales,Characeae,Lamprothamnium,SPECIES,EXACT,99,ACCEPTED,
umbilicaria deusta,Umbilicaria deusta,トゲイワタケ,moe_redlist,Umbilicaria deusta,verbatim,5260486,Umbilicaria deusta (L.) Baumg.,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Umbilicaria,SPECIES,EXACT,99,ACCEPTED,
diplocarpa irregularis,Diplocarpa irregularis,クロムラサキハナビラタケ,moe_redlist,Diplocarpa irregularis,verbatim,11837670,Diplocarpa irregularis (Schwein.) Baral & Pärtel,Fungi,Ascomycota,Leotiomycetes,Helotiales,Cordieritidaceae,Diplocarpa,SPECIES,EXACT,99,ACCEPTED,
rhinolophus perditus,Rhinolophus perditus,ヤエヤマコキクガシラコウモリ,moe_redlist,Rhinolophus perditus,verbatim,5787428,"Rhinolophus perditus K.Andersen, 1918",Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SPECIES,EXACT,99,ACCEPTED,
pungitius sp. 4,Pungitius sp. 4,ムサシトミヨ,moe_redlist,Pungitius sp. 4,verbatim,5204682,"Pungitius Coste, 1848",Animalia,Chordata,,Gasterosteiformes,Gasterosteidae,Pungitius,GENUS,HIGHERRANK,94,ACCEPTED,
chrysobothris boninensis suzukii,Chrysobothris boninensis suzukii,オガサワラムツボシタマムシ母島亜種,moe_redlist,Chrysobothris boninensis suzukii,verbatim,9277990,"Chrysobothris boninensis suzukii Kurosawa, 1975",Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Chrysobothris,SUBSPECIES,EXACT,98,ACCEPTED,
paludinellassiminea sp. b,Paludinellassiminea sp. B,ドナンオカチグサ,moe_redlist,Paludinellassiminea sp. B,verbatim,5856427,"Paludinellassiminea Habe, 1994",Animalia,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Paludinellassiminea,GENUS,HIGHERRANK,94,ACCEPTED,
cirrodrilus megalodentatus,Cirrodrilus megalodentatus,オオアゴザリガニミミズ,moe_redlist,Cirrodrilus megalodentatus,verbatim,8272197,"Cirrodrilus megalodentatus (Yamaguchi, 1934)",Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Cirrodrilus,SPECIES,EXACT,99,ACCEPTED,
robinsia catherinae,Robinsia catherinae,カワリアナゴ,moe_redlist,Robinsia catherinae,verbatim,2405425,"Robinsia catherinae Böhlke & Smith, 1967",Animalia,Chordata,,Anguilliformes,Chlopsidae,Robinsia,SPECIES,EXACT,99,ACCEPTED,
eudactylina squatini,Eudactylina squatini,和名なし,moe_redlist,Eudactylina squatini,verbatim,6466816,"Eudactylina squatini Izawa, 2011",Animalia,Arthropoda,Copepoda,Siphonostomatoida,Eudactylinidae,Eudactylina,SPECIES,EXACT,99,ACCEPTED,
arhynchite arhynchite,Arhynchite arhynchite,ドチクチユムシ,moe_redlist,Arhynchite arhynchite,verbatim,2508973,"Arhynchite arhynchite (Ikeda, 1924)",Animalia,Annelida,Polychaeta,Echiuroidea,Thalassematidae,Arhynchite,SPECIES,EXACT,99,ACCEPTED,
iris laevigata fisch.,Iris laevigata Fisch.,カキツバタ,kanagawa_redlist,Iris laevigata Fisch.,verbatim,5298334,Iris laevigata Fisch.,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,SPECIES,EXACT,100,ACCEPTED,
campylopus fragilis (brid.) bruch & schimp.,Campylopus fragilis (Brid.) Bruch & Schimp.,マユハケゴケ,kanagawa_redlist,Campylopus fragilis (Brid.) Bruch & Schimp.,verbatim,5281998,Campylopus fragilis (Brid.) Bruch & Schimp.,Plantae,Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Campylopus,SPECIES,EXACT,100,ACCEPTED,
boletus generosus har. takah.,Boletus generosus Har. Takah.,ヒイロウラベニイロガワリ,kanagawa_redlist,Boletus generosus Har. Takah.,verbatim,6015922,Boletus generosus Har.Takah.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,SPECIES,EXACT,100,ACCEPTED,
"shaogomphus postocularis (selys, 1869)","Shaogomphus postocularis (Selys, 1869)",ホンサナエ,kanagawa_redlist,"Shaogomphus postocularis (Selys, 1869)",verbatim,1425991,"Shaogomphus postocularis (Selys, 1869)",Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Shaogomphus,SPECIES,EXACT,100,ACCEPTED,
saimiri sciureus,Saimiri sciureus,リスザル,moe_ias_list,Saimiri sciureus,verbatim,2436661,"Saimiri sciureus (Linnaeus, 1758)",Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,SPECIES,EXACT,99,ACCEPTED,
salvelinus fontinalis,Salvelinus fontinalis,カワマス,moe_ias_list,Salvelinus fontinalis,verbatim,2351271,"Salvelinus fontinalis (Mitchill, 1814)",Animalia,Chordata,,Salmoniformes,Salmonidae,Salvelinus,SPECIES,EXACT,99,ACCEPTED,
hydroides elegans,Hydroides elegans,カサネカンザシ,moe_ias_list,Hydroides elegans,verbatim,2328302,"Hydroides elegans (Haswell, 1883)",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,SPECIES,EXACT,99,ACCEPTED,
pistia stratiotes,Pistia stratiotes,ボタンウキクサ,moe_ias_list,Pistia stratiotes,verbatim,2870583,Pistia stratiotes L.,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,SPECIES,EXACT,99,ACCEPTED,
rallina eurizonoides sepiaria,Rallina eurizonoides sepiaria,オオクイナ,moe_redlist,Rallina eurizonoides sepiaria,verbatim,6176668,"Rallina eurizonoides sepiaria (Stejneger, 1887)",Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallina,SUBSPECIES,EXACT,98,ACCEPTED,
astragalus sikokianus,Astragalus sikokianus,ナルトオウギ,moe_redlist,Astragalus sikokianus,verbatim,5344739,Astragalus sikokianus Nakai,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,SPECIES,EXACT,99,ACCEPTED,
pleurozia purpurea,Pleurozia purpurea,ミズゴケモドキ,moe_redlist,Pleurozia purpurea,verbatim,2688670,Pleurozia purpurea Lindb.,Plantae,Marchantiophyta,Jungermanniopsida,Pleuroziales,Pleuroziaceae,Pleurozia,SPECIES,EXACT,99,ACCEPTED,
nitella acuminata var. subglomerata,Nitella acuminata var. subglomerata,トガリフラスコモ,moe_redlist,Nitella acuminata var. subglomerata,verbatim,2637949,Nitella acuminata A.Braun ex Wallman,Plantae,Charophyta,Charophyceae,Charales,Characeae,Nitella,SPECIES,HIGHERRANK,98,ACCEPTED,
umbilicaria muehlenbergii,Umbilicaria muehlenbergii,オオウラヒダイワタケ,moe_redlist,Umbilicaria muehlenbergii,verbatim,5260491,Umbilicaria muehlenbergii (Ach.) Tuck.,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Umbilicaria,SPECIES,EXACT,99,ACCEPTED,
tricholoma matsutake,Tricholoma matsutake,マツタケ,moe_redlist,Tricholoma matsutake,verbatim,5241820,Tricholoma matsutake (S.Ito & S.Imai) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,SPECIES,EXACT,99,ACCEPTED,
eptesicus japonensis,Eptesicus japonensis,クビワコウモリ,moe_redlist,Eptesicus japonensis,verbatim,4265974,"Eptesicus japonensis Imaizumi, 1953",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,SPECIES,EXACT,99,ACCEPTED,
microphis argulus,Microphis argulus,ホシイッセンヨウジ,moe_redlist,Microphis argulus,verbatim,5200998,"Microphis argulus (Peters, 1855)",Animalia,Chordata,,Syngnathiformes,Syngnathidae,Microphis,SPECIES,EXACT,99,ACCEPTED,
tamamushia virida fujitai,Tamamushia virida fujitai,ツマベニタマムシ聟島亜種,moe_redlist,Tamamushia virida fujitai,verbatim,9626250,"Tamamushia virida fujitai Ohmomo & Karube, 2004",Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Tamamushia,SUBSPECIES,EXACT,98,ACCEPTED,
parafossarulus manchouricus japonicus,Parafossarulus manchouricus japonicus,マメタニシ,moe_redlist,Parafossarulus manchouricus japonicus,verbatim,9700025,"Parafossarulus manchouricus (Bourguignat, 1860)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,Parafossarulus,SPECIES,HIGHERRANK,99,ACCEPTED,
cirrodrilus nipponicus,Cirrodrilus nipponicus,ニッポンザリガニミミズ,moe_redlist,Cirrodrilus nipponicus,verbatim,7519591,"Cirrodrilus nipponicus (Yamaguchi, 1932)",Animalia,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Cirrodrilus,SPECIES,EXACT,99,ACCEPTED,
gymnothorax richardsonii,Gymnothorax richardsonii,モバウツボ,moe_redlist,Gymnothorax richardsonii,verbatim,2403987,"Gymnothorax richardsonii (Bleeker, 1852)",Animalia,Chordata,,Anguilliformes,Muraenidae,Gymnothorax,SPECIES,EXACT,99,ACCEPTED,
