taxon_id,scientific_name,vernacular_name_ja,source_id,query_name,query_variant,taxon_key,accepted_scientific_name,kingdom,phylum,class,order,family,genus,rank,matchType,confidence,status,note
agaricus hahashimensis,Agaricus hahashimensis,ハハジマモリノカサ,moe_redlist,Agaricus hahashimensis,verbatim,5454759,Agaricus hahashimensis S.Ito & S.Imai,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,SPECIES,EXACT,99,ACCEPTED,
pteropus loochoensis,Pteropus loochoensis,オキナワオオコウモリ,moe_redlist,Pteropus loochoensis,verbatim,5706998,"Pteropus loochoensis Gray, 1870",Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,SPECIES,EXACT,98,SYNONYM,
acipenser medirostris,Acipenser medirostris,チョウザメ,moe_redlist,Acipenser medirostris,verbatim,2402118,"Acipenser medirostris Ayres, 1854",Animalia,Chordata,,Acipenseriformes,Acipenseridae,Acipenser,SPECIES,EXACT,99,ACCEPTED,
ishikawatrechus intermedius,Ishikawatrechus intermedius,カドタメクラチビゴミムシ,moe_redlist,Ishikawatrechus intermedius,verbatim,7746997,"Ishikawatrechus intermedius Ueno, 1957",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ishikawatrechus,SPECIES,EXACT,99,ACCEPTED,
ogasawarana chichijimana,Ogasawarana chichijimana,チチジマヤマキサゴ,moe_redlist,Ogasawarana chichijimana,verbatim,5784016,"Ogasawarana chichijimana (Kuroda, 1956)",Animalia,Mollusca,Gastropoda,Cycloneritida,Helicinidae,Ogasawarana,SPECIES,EXACT,97,ACCEPTED,
compressalges nipponiae,Compressalges nipponiae,トキウモウダニ,moe_redlist,Compressalges nipponiae,verbatim,6901579,"Compressalges nipponiae Dubinin, 1950",Animalia,Arthropoda,Arachnida,Sarcoptiformes,Caudiferidae,Compressalges,SPECIES,EXACT,99,ACCEPTED,
heteroconger polyzona,Heteroconger polyzona,ゼブラアナゴ,moe_redlist,Heteroconger polyzona,verbatim,2403149,"Heteroconger polyzona Bleeker, 1868",Animalia,Chordata,,Anguilliformes,Congridae,Heteroconger,SPECIES,EXACT,99,ACCEPTED,
boninastrea boninensis,Boninastrea boninensis,オガサワラサンゴ,moe_redlist,Boninastrea boninensis,verbatim,2259543,"Boninastrea boninensis Yabe & Sugiyama, 1935",Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Boninastrea,SPECIES,EXACT,99,ACCEPTED,
octolasmis unguisiformis,Octolasmis unguisiformis,メナガオサガニハサミエボシ,moe_redlist,Octolasmis unguisiformis,verbatim,4335769,"Octolasmis unguisiformis Kobayashi & Kato, 2003",Animalia,Arthropoda,Maxillopoda,Pedunculata,Poecilasmatidae,Octolasmis,SPECIES,EXACT,99,ACCEPTED,
loliolus beka,Loliolus beka,ベイカ,moe_redlist,Loliolus beka,verbatim,2290341,"Loliolus beka (Sasaki, 1929)",Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loliolus,SPECIES,EXACT,99,ACCEPTED,
lingula adamsi,Lingula adamsi,オオシャミセンガイ,moe_redlist,Lingula adamsi,verbatim,5183828,"Lingula adamsi Dall, 1873",Animalia,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula,SPECIES,EXACT,99,ACCEPTED,
phlegmariurus sieboldii (miq.) ching,Phlegmariurus sieboldii (Miq.) Ching,ヒモラン,kanagawa_redlist,Phlegmariurus sieboldii (Miq.) Ching,verbatim,3990857,Phlegmariurus sieboldii (Miq.) Ching,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Phlegmariurus,SPECIES,EXACT,100,ACCEPTED,
dendroceros japonicus steph.,Dendroceros japonicus Steph.,キノボリツノゴケ,kanagawa_redlist,Dendroceros japonicus Steph.,verbatim,5792173,Dendroceros japonicus Steph.,Plantae,Anthocerotophyta,Anthocerotopsida,Dendrocerotales,Dendrocerotaceae,Dendroceros,SPECIES,EXACT,100,ACCEPTED,
nitellopsis obtusa (desv.) j.groves,Nitellopsis obtusa (Desv.) J.Groves,ホシツリモ,kanagawa_redlist,Nitellopsis obtusa (Desv.) J.Groves,verbatim,2638307,Nitellopsis obtusa (Desv.) J.Groves,Plantae,Charophyta,Charophyceae,Charales,Characeae,Nitellopsis,SPECIES,EXACT,100,ACCEPTED,
