record_id,source_id,site_id,observed_on,scientific_name,vernacular_name,taxon_rank,reason
gbif_kanagawa_occurrences__464463796,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464490541,gbif_kanagawa_occurrences,,1966-08-30,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464491499,gbif_kanagawa_occurrences,,1925-05-16,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464515573,gbif_kanagawa_occurrences,,1932-04-01/1932-04-30,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464515574,gbif_kanagawa_occurrences,,1966-08-30,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464586266,gbif_kanagawa_occurrences,,1966-08-30,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464586267,gbif_kanagawa_occurrences,,1928-01-09,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464587548,gbif_kanagawa_occurrences,,1966-08-30,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__464609505,gbif_kanagawa_occurrences,,1966-08-30,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__476980517,gbif_kanagawa_occurrences,,1920,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856292576,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856292580,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856323669,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856356585,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856358986,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856359249,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856360897,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856361114,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856361119,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856361139,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856361142,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
